INDIVIDUAL_ID,INCOME,HAS_CHILDREN,LENGTH_OF_RESIDENCE,MARITAL_STATUS,HOME_MARKET_VALUE,HOME_OWNER,COLLEGE_DEGREE,GOOD_CREDIT
13085.0,125000.0,1.0,8.0,Single,300000 - 349999,1,1,1
15362.0,27500.0,0.0,15.0,Married,75000 - 99999,1,0,1
18087.0,70000.0,1.0,14.0,Married,100000 - 124999,1,0,1
13635.0,87500.0,1.0,3.0,Single,75000 - 99999,1,0,1
14110.0,62500.0,1.0,5.0,Married,50000 - 74999,1,0,1
12636.0,125000.0,0.0,3.0,Married,75000 - 99999,1,1,1
13758.0,57500.0,0.0,3.0,Single,50000 - 74999,1,1,1
17592.0,47500.0,1.0,15.0,Married,50000 - 74999,1,0,1
16167.0,47500.0,1.0,2.0,Married,200000 - 224999,1,0,0
13767.0,47500.0,1.0,3.0,Single,50000 - 74999,1,0,1
13293.0,87500.0,1.0,6.0,Married,100000 - 124999,1,1,1
17238.0,125000.0,0.0,12.0,Single,125000 - 149999,1,1,1
16011.0,62500.0,0.0,5.0,Married,50000 - 74999,1,0,1
15712.0,125000.0,0.0,9.0,Single,200000 - 224999,1,1,1
15311.0,32500.0,1.0,3.0,Single,275000 - 299999,0,0,1
16329.0,87500.0,1.0,12.0,Single,75000 - 99999,1,0,1
15461.0,87500.0,0.0,6.0,Single,75000 - 99999,1,0,1
17700.0,125000.0,1.0,10.0,Married,125000 - 149999,1,1,1
15998.0,125000.0,1.0,4.0,Married,200000 - 224999,1,0,0
15614.0,70000.0,1.0,8.0,Married,100000 - 124999,1,0,1
12533.0,87500.0,1.0,12.0,Married,75000 - 99999,1,0,1
16128.0,57500.0,0.0,7.0,Married,50000 - 74999,1,1,1
16714.0,87500.0,1.0,6.0,Married,250000 - 274999,1,1,1
14748.0,125000.0,1.0,4.0,Married,75000 - 99999,1,1,1
14871.0,87500.0,1.0,3.0,Single,100000 - 124999,1,0,1
13394.0,125000.0,0.0,15.0,Married,100000 - 124999,1,1,0
12615.0,70000.0,1.0,4.0,Married,200000 - 224999,1,0,0
15299.0,250000.0,1.0,15.0,Married,150000 - 174999,1,0,1
16393.0,162500.0,0.0,15.0,Married,150000 - 174999,1,1,1
14040.0,87500.0,1.0,4.0,Single,75000 - 99999,1,0,1
12913.0,47500.0,1.0,5.0,Married,75000 - 99999,0,0,1
15091.0,125000.0,1.0,6.0,Married,50000 - 74999,1,0,1
15061.0,70000.0,0.0,8.0,Married,100000 - 124999,1,0,0
14341.0,42500.0,0.0,3.0,Single,250000 - 274999,0,1,1
17804.0,42500.0,0.0,12.0,Married,75000 - 99999,1,0,1
14156.0,87500.0,0.0,8.0,Married,75000 - 99999,1,0,1
13599.0,32500.0,0.0,6.801,Single,25000 - 49999,0,0,0
17641.0,87500.0,1.0,15.0,Married,50000 - 74999,1,0,1
17063.0,187500.0,0.0,15.0,Married,75000 - 99999,1,0,1
13545.0,70000.0,1.0,1.0,Married,100000 - 124999,1,0,1
15719.0,125000.0,1.0,2.0,Married,125000 - 149999,1,0,1
12490.0,87500.0,1.0,1.0,Married,175000 - 199999,1,0,1
15793.0,125000.0,1.0,14.0,Married,400000 - 449999,1,0,1
13526.0,125000.0,0.0,2.0,Married,225000 - 249999,1,1,1
